Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Stenotrophomonas|s_maltophilia	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Gammaproteobacteria|o_Xanthomonadales|f_Xanthomonadaceae|g_Stenotrophomonas|s_maltophilia.1	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Novosphingobium|s_panipatense	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Unclassified|s_Unclassified	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Phyllobacteriaceae|g_Defluvibacter|s_lusatiensis	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Bradyrhizobiaceae|g_Unclassified|s_Unclassified	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Bradyrhizobiaceae|g_Afipia|s_Unclassified	0	0	2	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_sp._HMT_004	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Rhizobiaceae|g_Mesorhizobium|s_loti	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Brucellaceae|g_Ochrobactrum|s_anthropi	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Brucellaceae|g_Ochrobactrum|s_anthropi.1	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Bradyrhizobiaceae|g_Bosea|s_vestrisii	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Alphaproteobacteria|o_Rhizobiales|f_Bradyrhizobiaceae|g_Bosea|s_vestrisii.1	0	0	0	0	0	0	0	0
