Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidales_[F-2]|g_Bacteroidales_[G-2]|s_bacterium_HMT_274	0	120	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified	86	0	200	0	1715	343	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_gingivalis	0	0	0	0	286	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.1	0	0	0	0	24	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sp._HMT_326	0	0	9	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_leadbetteri	0	37304	33	0	1743	157	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_leadbetteri.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_leadbetteri.2	0	11739	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sputigena	0	1337	0	3	210	137	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sputigena.1	14	1307	15	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sputigena.2	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sp._HMT_412	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sp._HMT_901	0	0	15	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.2	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.3	0	0	0	0	27	57	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.4	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_sp._HMT_412.1	0	0	33	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.5	0	12	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Unclassified.6	0	0	15	0	768	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_319	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_Unclassified	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Flavitalea|s_sp._HMT_320	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_907	0	0	0	0	7	6	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_931	0	0	0	0	21	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_931.1	0	0	0	0	0	0	14	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_322	49	0	52	0	436	0	0	0
p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Bergeyella|s_sp._HMT_322.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_endodontalis	0	0	5	0	14	640	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_uenonis	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_pasteri	0	0	0	0	466	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_pasteri.1	0	0	29	0	38	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_pasteri.2	31	0	685	0	5358	69	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Unclassified	22	0	0	0	16	15	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Shuttleworthia|s_satelles	0	0	0	0	0	33	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Shuttleworthia|s_satelles.1	0	0	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Shuttleworthia|s_satelles.2	0	4	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Johnsonella|s_ignava	0	26	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnoanaerobaculum|s_umeaense	0	16	44	67	90	76	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnoanaerobaculum|s_saburreum	0	0	82	0	21	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnoanaerobaculum|s_saburreum.1	0	0	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnoanaerobaculum|s_saburreum.2	0	0	82	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnoanaerobaculum|s_orale	0	0	0	0	166	9	30	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-2]|s_bacterium_HMT_088	0	0	0	0	0	0	0	130
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-3]|s_bacterium_HMT_100	0	26	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-3]|s_bacterium_HMT_100.1	0	0	5	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-2]|s_bacterium_HMT_088.1	0	41	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-2]|s_bacterium_HMT_088.2	0	0	0	0	0	0	0	56
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-2]|s_bacterium_HMT_088.3	0	0	0	0	0	0	0	53
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_sp._HMT_102	0	0	0	0	0	0	0	25
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_parvum	0	16	0	0	301	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_sinus	0	62	0	19	95	116	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_sp._HMT_078	15	86	5	0	28	11	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_asaccharolyticum	0	204	0	18	127	703	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_asaccharolyticum.1	0	0	0	0	0	32	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-2]|s_bacterium_HMT_096	0	0	0	0	9	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Unclassified|s_Unclassified	0	0	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_Unclassified	0	0	0	0	0	0	0	626
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Oribacterium|s_Unclassified.1	0	0	0	0	0	0	0	90
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Unclassified|s_Unclassified.1	0	32	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Unclassified|s_Unclassified.2	0	0	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Butyrivibrio|s_sp._HMT_455	0	0	0	0	1239	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Stomatobaculum|s_sp._HMT_097	0	18	0	3	443	507	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Stomatobaculum|s_longum	0	0	0	0	0	105	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Stomatobaculum|s_longum.1	0	0	0	0	0	44	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Stomatobaculum|s_longum.2	0	0	45	61	66	100	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Stomatobaculum|s_sp._HMT_910	0	0	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Lachnospiraceae_[G-7]|s_Unclassified	0	0	0	0	3	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-3]|s_bacterium_HMT_351	0	0	0	0	174	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-3]|s_bacterium_HMT_351.1	0	5	0	0	79	5	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_bacterium_HMT_488	0	4	0	0	0	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_Unclassified	0	0	0	0	0	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_bacterium_HMT_349	0	0	7	0	0	34	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_bacterium_HMT_347	0	0	116	0	35	52	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-8]|s_bacterium_HMT_955	0	0	0	0	5	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-6]|s_bacterium_HMT_870	0	0	0	0	14464	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-6]|s_bacterium_HMT_870.1	0	0	0	0	76	0	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_bacterium_HMT_346	0	0	0	0	6	8	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_bacterium_HMT_957	0	28	27	0	73	113	0	0
p_Saccharibacteria_(TM7)|c_Saccharibacteria_(TM7)_[C-1]|o_Saccharibacteria_(TM7)_[O-1]|f_Saccharibacteria_(TM7)_[F-1]|g_Saccharibacteria_(TM7)_[G-1]|s_Unclassified.1	0	18	0	22	1132	104	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Catonella|s_morbi	0	0	0	0	20	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Catonella|s_morbi.1	0	0	0	0	118	39	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae_[XIV]|g_Catonella|s_morbi.2	0	0	11	0	41	13	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae_[G-3]|s_Unclassified	0	0	0	0	0	0	0	311
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae_[G-3]|s_bacterium_HMT_366	0	0	0	0	0	0	0	23
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae_[G-2]|s_bacterium_HMT_085	0	76	0	3	453	45	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae_[G-1]|s_bacterium_HMT_075	0	0	2	5	212	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_tannerae	0	4451	20	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_tannerae.1	0	0	0	0	254	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_tannerae.2	0	0	0	0	0	0	0	0
p_Firmicutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasma|s_Unclassified	0	0	0	0	0	233	0	0
p_Firmicutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasma|s_Unclassified.1	1196	27	0	0	0	132	0	0
p_Firmicutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasma|s_hominis	0	0	0	0	0	335	0	0
p_Firmicutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Mycoplasma|s_hominis.1	0	0	0	0	0	286	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_sp._HMT_203	258	5065	0	0	444	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Unclassified	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_nucleatum_subsp._vincentii	4658	147	12	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_nucleatum_subsp._vincentii.1	0	0	0	0	0	6	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_nucleatum_subsp._vincentii.2	8606	608	14	0	384	0	17	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Unclassified.1	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_sp._HMT_203.1	408	3573	186	0	496	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_sp._HMT_203.2	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Unclassified.2	0	0	0	0	733	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_periodonticum	0	0	0	0	6196	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_periodonticum.1	0	0	0	0	575	0	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Unclassified|s_Unclassified	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_clausii	0	0	7	0	2	0	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Listeriaceae|g_Brochothrix|s_thermosphacta	0	0	0	0	0	5	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Lysinibacillus|s_fusiformis	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_anthracis	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Gemellaceae|g_Gemella|s_morbillorum	0	0	0	0	0	0	111	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Gemellaceae|g_Gemella|s_morbillorum.1	0	0	398	11612	1518	82	1169	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Unclassified	0	0	0	686	4	5	13	0
p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Jeotgalicoccus|s_huakuii	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_adiacens	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_adiacens.1	0	977	1238	0	928	818	1787	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_adiacens.2	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_adiacens.3	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_elegans	0	0	27	0	44	5	118	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Aerococcus|s_viridans	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified	0	0	0	0	0	0	0	278
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.1	0	0	0	0	0	0	0	261
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.2	0	0	0	0	0	0	0	29
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.3	0	0	0	0	0	0	0	4632
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.4	0	0	0	0	0	0	0	442
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.5	0	0	0	0	0	0	0	48
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.6	0	0	0	0	0	0	0	328
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Unclassified.7	0	0	0	0	0	0	0	125
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Abiotrophia|s_defectiva	0	0	950	0	716	397	970	5
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_Unclassified	0	41	0	0	0	0	0	22
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_casei	0	0	0	0	0	0	0	109
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_fermentum	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_gasseri	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_paracasei	0	0	0	0	0	0	0	307
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Clostridiales_[F-3]|g_Clostridiales_[F-3][G-1]|s_bacterium_HMT_876	0	0	0	0	0	0	0	5
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Turicella|s_otitidis	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_durum	0	183	291	0	25	0	6	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_jeikeium	0	0	15	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_matruchotii	0	0	675	0	50	12	0	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Unclassified	0	0	11	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Unclassified.1	0	0	18	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Unclassified.2	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_Unclassified	0	0	0	0	9	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_propionica	4869	27	0	0	0	11	0	0
p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_acnes	0	0	2	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_Unclassified.1	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Dermabacter|s_hominis	0	0	3	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_sp._HMT_180	0	10927	126	7284	1302	1110	1658	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Unclassified	0	0	0	0	390	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Unclassified	6	1248	3338	25	63	42	7295	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Unclassified.1	0	0	0	0	0	0	3	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Unclassified.2	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_graevenitzii	0	0	0	18	33	160	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_sp._HMT_897	0	0	0	0	0	72	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_dentalis	0	0	17	0	0	5	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Unclassified.1	0	0	36	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Unclassified.3	0	0	0	0	0	17	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Unclassified.4	40	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_gerencseriae	28	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Unclassified.2	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_lingnae_[Not_Validly_Published]	5	0	0	0	82	126	0	34
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_lingnae_[Not_Validly_Published].1	0	267	0	25	65	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus|s_mulieris	0	0	0	0	2	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_dentium	0	0	0	0	0	19	0	0
p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Unclassified	0	0	0	9	0	24	0	0
p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_animalis	0	0	0	0	0	0	0	6
p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Scardovia|s_wiggsiae	1561	2	0	3	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Micrococcus|s_luteus	0	0	3	0	0	0	0	0
